SMILES,num_atoms,U0,gap
C,5,-40.47893,0.5048
N,4,-56.525887,0.3399
O,3,-76.4047,0.3615
C#C,4,-77.308426,0.3351
C#N,3,-93.41189,0.3796
C=O,4,-114.48361,0.2263
CC,8,-79.76415,0.4426
CO,6,-115.67914,0.3437
CC#C,7,-116.60955,0.3222
CC#N,6,-132.71815,0.364
CC=O,7,-153.78761,0.2342
NC=O,6,-169.8608,0.2845
CCC,11,-119.052475,0.4179
CCO,9,-154.97273,0.3417
COC,9,-154.96036,0.3435
C1CC1,9,-117.8248,0.393
C1CO1,7,-153.74257,0.3724
CC(C)=O,10,-193.08833,0.2344
CC(N)=O,9,-209.1593,0.2783
NC(N)=O,8,-225.22147,0.3051
CC(C)C,14,-158.34235,0.401
CC(C)O,12,-194.26723,0.3351
C#CC#C,6,-153.45984,0.2386
C#CC#N,5,-169.55775,0.2559
N#CC#N,4,-185.64853,0.277
O=CC#C,6,-190.62463,0.2042
O=CC#N,5,-206.72186,0.2066
O=CC=O,6,-227.79878,0.1555
CC#CC,10,-155.90894,0.3096
CCC#C,10,-155.89734,0.3157
CCC#N,9,-172.00613,0.3553
NCC#N,8,-188.04207,0.2855
OCC#C,8,-191.81091,0.2872
OCC#N,7,-207.91678,0.3039
CCC=O,10,-193.0752,0.2295
CNC=O,9,-209.14491,0.2851
COC=O,8,-229.0138,0.2888
OCC=O,8,-228.99261,0.2196
CCCC,14,-158.34094,0.4107
CCCO,12,-194.2611,0.3429
CCOC,12,-194.25412,0.3428
OCCO,10,-230.18307,0.3179
CC1CC1,12,-157.11673,0.3738
CC1CO1,10,-193.0396,0.3685
CN1CC1,11,-173.14778,0.3271
OC1CC1,10,-193.03499,0.3166
C1CCC1,12,-157.11548,0.3938
C1COC1,10,-193.03409,0.3283
CC(C)=NO,12,-248.37524,0.2584
N1C=CC=C1,10,-210.10179,0.2528
N1C=CN=C1,9,-226.16084,0.2585
O1C=CC=C1,9,-229.96913,0.2445
O1C=CN=C1,8,-246.02914,0.2519
CC(C)(C)C,17,-197.63222,0.3882
CC(C)(C)O,15,-233.56062,0.3265
CC(=O)C#C,9,-229.92728,0.2079
CC(=O)C#N,8,-246.02739,0.2118
NC(=O)C#C,8,-245.99788,0.2352
CC(=O)C=O,9,-267.10336,0.1574
NC(=O)C=O,8,-283.16873,0.177
CC(C)C#C,13,-195.18677,0.316
CC(C)C#N,12,-211.29579,0.3545
CC(N)C#N,11,-227.33807,0.2983
CC(O)C#C,11,-231.10837,0.3001
CC(O)C#N,10,-247.21486,0.3166
CC(C)C=O,13,-232.36494,0.2281
